method_id,source_drug,target_drug,factor
CMD,amisulpride,amisulpride,1.0
CMD,amisulpride,aripiprazole,0.03655352480417755
CMD,amisulpride,asenapine,0.023498694516971282
CMD,amisulpride,chlorpromazine,1.0156657963446476
CMD,amisulpride,clozapine,0.7989556135770236
CMD,amisulpride,haloperidol,0.018276762402088774
CMD,amisulpride,olanzapine,0.026109660574412535
CMD,amisulpride,quetiapine,0.8433420365535248
CMD,amisulpride,risperidone,0.010443864229765015
CMD,amisulpride,sertindole,0.02872062663185379
CMD,amisulpride,ziprasidone,0.20626631853785904
CMD,amisulpride,zotepine,0.34464751958224543
CMD,aripiprazole,amisulpride,27.357142857142858
CMD,aripiprazole,aripiprazole,1.0
CMD,aripiprazole,asenapine,0.6428571428571429
CMD,aripiprazole,chlorpromazine,27.785714285714285
CMD,aripiprazole,clozapine,21.85714285714286
CMD,aripiprazole,haloperidol,0.5
CMD,aripiprazole,olanzapine,0.7142857142857143
CMD,aripiprazole,quetiapine,23.07142857142857
CMD,aripiprazole,risperidone,0.28571428571428575
CMD,aripiprazole,sertindole,0.7857142857142858
CMD,aripiprazole,ziprasidone,5.642857142857143
CMD,aripiprazole,zotepine,9.428571428571429
CMD,asenapine,amisulpride,42.55555555555555
CMD,asenapine,aripiprazole,1.5555555555555554
CMD,asenapine,asenapine,1.0
CMD,asenapine,chlorpromazine,43.22222222222222
CMD,asenapine,clozapine,34.0
CMD,asenapine,haloperidol,0.7777777777777777
CMD,asenapine,olanzapine,1.1111111111111112
CMD,asenapine,quetiapine,35.888888888888886
CMD,asenapine,risperidone,0.4444444444444445
CMD,asenapine,sertindole,1.2222222222222223
CMD,asenapine,ziprasidone,8.777777777777779
CMD,asenapine,zotepine,14.666666666666666
CMD,chlorpromazine,amisulpride,0.9845758354755784
CMD,chlorpromazine,aripiprazole,0.03598971722365039
CMD,chlorpromazine,asenapine,0.023136246786632394
CMD,chlorpromazine,chlorpromazine,1.0
CMD,chlorpromazine,clozapine,0.7866323907455014
CMD,chlorpromazine,haloperidol,0.017994858611825194
CMD,chlorpromazine,olanzapine,0.02570694087403599
CMD,chlorpromazine,quetiapine,0.8303341902313625
CMD,chlorpromazine,risperidone,0.010282776349614397
CMD,chlorpromazine,sertindole,0.02827763496143959
CMD,chlorpromazine,ziprasidone,0.20308483290488433
CMD,chlorpromazine,zotepine,0.33933161953727503
CMD,clozapine,amisulpride,1.2516339869281043
CMD,clozapine,aripiprazole,0.0457516339869281
CMD,clozapine,asenapine,0.029411764705882353
CMD,clozapine,chlorpromazine,1.2712418300653594
CMD,clozapine,clozapine,1.0
CMD,clozapine,haloperidol,0.02287581699346405
CMD,clozapine,olanzapine,0.032679738562091505
CMD,clozapine,quetiapine,1.0555555555555554
CMD,clozapine,risperidone,0.013071895424836602
CMD,clozapine,sertindole,0.03594771241830066
CMD,clozapine,ziprasidone,0.2581699346405229
CMD,clozapine,zotepine,0.4313725490196078
CMD,haloperidol,amisulpride,54.714285714285715
CMD,haloperidol,aripiprazole,2.0
CMD,haloperidol,asenapine,1.2857142857142858
CMD,haloperidol,chlorpromazine,55.57142857142857
CMD,haloperidol,clozapine,43.71428571428572
CMD,haloperidol,haloperidol,1.0
CMD,haloperidol,olanzapine,1.4285714285714286
CMD,haloperidol,quetiapine,46.14285714285714
CMD,haloperidol,risperidone,0.5714285714285715
CMD,haloperidol,sertindole,1.5714285714285716
CMD,haloperidol,ziprasidone,11.285714285714286
CMD,haloperidol,zotepine,18.857142857142858
CMD,olanzapine,amisulpride,38.3
CMD,olanzapine,aripiprazole,1.4
CMD,olanzapine,asenapine,0.9
CMD,olanzapine,chlorpromazine,38.9
CMD,olanzapine,clozapine,30.6
CMD,olanzapine,haloperidol,0.7
CMD,olanzapine,olanzapine,1.0
CMD,olanzapine,quetiapine,32.3
CMD,olanzapine,risperidone,0.4
CMD,olanzapine,sertindole,1.1
CMD,olanzapine,ziprasidone,7.9
CMD,olanzapine,zotepine,13.2
CMD,quetiapine,amisulpride,1.1857585139318885
CMD,quetiapine,aripiprazole,0.043343653250773995
CMD,quetiapine,asenapine,0.027863777089783284
CMD,quetiapine,chlorpromazine,1.2043343653250775
CMD,quetiapine,clozapine,0.9473684210526317
CMD,quetiapine,haloperidol,0.021671826625386997
CMD,quetiapine,olanzapine,0.030959752321981428
CMD,quetiapine,quetiapine,1.0
CMD,quetiapine,risperidone,0.012383900928792572
CMD,quetiapine,sertindole,0.03405572755417957
CMD,quetiapine,ziprasidone,0.24458204334365327
CMD,quetiapine,zotepine,0.4086687306501548
CMD,risperidone,amisulpride,95.74999999999999
CMD,risperidone,aripiprazole,3.4999999999999996
CMD,risperidone,asenapine,2.25
CMD,risperidone,chlorpromazine,97.24999999999999
CMD,risperidone,clozapine,76.5
CMD,risperidone,haloperidol,1.7499999999999998
CMD,risperidone,olanzapine,2.5
CMD,risperidone,quetiapine,80.74999999999999
CMD,risperidone,risperidone,1.0
CMD,risperidone,sertindole,2.75
CMD,risperidone,ziprasidone,19.75
CMD,risperidone,zotepine,32.99999999999999
CMD,sertindole,amisulpride,34.81818181818181
CMD,sertindole,aripiprazole,1.2727272727272725
CMD,sertindole,asenapine,0.8181818181818181
CMD,sertindole,chlorpromazine,35.36363636363636
CMD,sertindole,clozapine,27.818181818181817
CMD,sertindole,haloperidol,0.6363636363636362
CMD,sertindole,olanzapine,0.9090909090909091
CMD,sertindole,quetiapine,29.36363636363636
CMD,sertindole,risperidone,0.36363636363636365
CMD,sertindole,sertindole,1.0
CMD,sertindole,ziprasidone,7.181818181818182
CMD,sertindole,zotepine,11.999999999999998
CMD,ziprasidone,amisulpride,4.848101265822784
CMD,ziprasidone,aripiprazole,0.1772151898734177
CMD,ziprasidone,asenapine,0.11392405063291139
CMD,ziprasidone,chlorpromazine,4.924050632911392
CMD,ziprasidone,clozapine,3.8734177215189876
CMD,ziprasidone,haloperidol,0.08860759493670885
CMD,ziprasidone,olanzapine,0.12658227848101264
CMD,ziprasidone,quetiapine,4.0886075949367084
CMD,ziprasidone,risperidone,0.05063291139240506
CMD,ziprasidone,sertindole,0.13924050632911392
CMD,ziprasidone,ziprasidone,1.0
CMD,ziprasidone,zotepine,1.670886075949367
CMD,zotepine,amisulpride,2.9015151515151514
CMD,zotepine,aripiprazole,0.10606060606060606
CMD,zotepine,asenapine,0.06818181818181819
CMD,zotepine,chlorpromazine,2.9469696969696972
CMD,zotepine,clozapine,2.3181818181818183
CMD,zotepine,haloperidol,0.05303030303030303
CMD,zotepine,olanzapine,0.07575757575757576
CMD,zotepine,quetiapine,2.446969696969697
CMD,zotepine,risperidone,0.030303030303030307
CMD,zotepine,sertindole,0.08333333333333334
CMD,zotepine,ziprasidone,0.5984848484848485
CMD,zotepine,zotepine,1.0
CPZ_FGA,chlorpromazine,chlorpromazine,1.0
CPZ_FGA,chlorpromazine,fluphenazine,0.012
CPZ_FGA,chlorpromazine,haloperidol,0.016
CPZ_FGA,chlorpromazine,perphenazine,0.089
CPZ_FGA,chlorpromazine,thioridazine,0.953
CPZ_FGA,chlorpromazine,thiothixene,0.052
CPZ_FGA,chlorpromazine,trifluoperazine,0.028
CPZ_FGA,fluphenazine,chlorpromazine,83.33333333333333
CPZ_FGA,fluphenazine,fluphenazine,1.0
CPZ_FGA,fluphenazine,haloperidol,1.3333333333333333
CPZ_FGA,fluphenazine,perphenazine,7.416666666666666
CPZ_FGA,fluphenazine,thioridazine,79.41666666666666
CPZ_FGA,fluphenazine,thiothixene,4.333333333333333
CPZ_FGA,fluphenazine,trifluoperazine,2.3333333333333335
CPZ_FGA,haloperidol,chlorpromazine,62.5
CPZ_FGA,haloperidol,fluphenazine,0.75
CPZ_FGA,haloperidol,haloperidol,1.0
CPZ_FGA,haloperidol,perphenazine,5.5625
CPZ_FGA,haloperidol,thioridazine,59.56249999999999
CPZ_FGA,haloperidol,thiothixene,3.25
CPZ_FGA,haloperidol,trifluoperazine,1.75
CPZ_FGA,perphenazine,chlorpromazine,11.235955056179776
CPZ_FGA,perphenazine,fluphenazine,0.1348314606741573
CPZ_FGA,perphenazine,haloperidol,0.17977528089887643
CPZ_FGA,perphenazine,perphenazine,1.0
CPZ_FGA,perphenazine,thioridazine,10.707865168539326
CPZ_FGA,perphenazine,thiothixene,0.5842696629213483
